time;gFx;gFy;gFz;TgF
0,974000;-0,2551;0,3171;0,9147;1,001
0,976000;-0,2578;0,3154;0,9181;1,004
0,979000;-0,2585;0,3139;0,9191;1,005
0,980000;-0,2582;0,3137;0,9189;1,005
0,982000;-0,2597;0,3130;0,9203;1,006
0,985000;-0,2604;0,3125;0,9216;1,007
0,986000;-0,2609;0,3132;0,9223;1,008
0,989000;-0,2614;0,3127;0,9208;1,007
0,991000;-0,2619;0,3122;0,9203;1,007
0,992000;-0,2619;0,3115;0,9181;1,004
0,994000;-0,2619;0,3120;0,9172;1,004
0,996000;-0,2609;0,3120;0,9159;1,002
0,998000;-0,2617;0,3130;0,9128;1,000
1,000000;-0,2629;0,3120;0,9103;0,998
1,002000;-0,2636;0,3115;0,9093;0,997
1,004000;-0,2651;0,3103;0,9081;0,996
1,007000;-0,2663;0,3078;0,9088;0,996
1,008000;-0,2641;0,3091;0,9079;0,995
1,010000;-0,2604;0,3127;0,8998;0,988
1,012000;-0,2558;0,3157;0,8883;0,977
1,014000;-0,2536;0,3171;0,8844;0,973
1,016000;-0,2509;0,3196;0,8817;0,971
1,020000;-0,2472;0,3174;0,8881;0,975
1,020000;-0,2463;0,3174;0,8881;0,975
1,022000;-0,2460;0,3157;0,8917;0,977
1,024000;-0,2463;0,3152;0,8952;0,980
1,026000;-0,2431;0,3161;0,8954;0,980
1,028000;-0,2421;0,3166;0,8939;0,979
1,030000;-0,2441;0,3169;0,8925;0,978
1,032000;-0,2431;0,3179;0,8927;0,978
1,035000;-0,2426;0,3176;0,8905;0,976
1,036000;-0,2421;0,3179;0,8886;0,974
1,038000;-0,2424;0,3186;0,8881;0,974
1,040000;-0,2416;0,3208;0,8876;0,974
1,042000;-0,2426;0,3198;0,8847;0,971
1,044000;-0,2436;0,3196;0,8834;0,971
1,046000;-0,2433;0,3208;0,8829;0,970
1,048000;-0,2441;0,3213;0,8837;0,971
1,050000;-0,2453;0,3201;0,8842;0,972
1,052000;-0,2458;0,3183;0,8847;0,972
1,054000;-0,2497;0,3186;0,8873;0,975
1,056000;-0,2502;0,3188;0,8891;0,977
1,058000;-0,2502;0,3188;0,8891;0,977
1,060000;-0,2512;0,3179;0,8888;0,977
1,062000;-0,2514;0,3181;0,8893;0,977
1,064000;-0,2519;0,3188;0,8893;0,978
1,066000;-0,2519;0,3201;0,8913;0,980
1,068000;-0,2526;0,3210;0,8891;0,978
1,070000;-0,2516;0,3213;0,8886;0,978
1,076000;-0,2507;0,3220;0,8869;0,976
1,076000;-0,2504;0,3240;0,8864;0,976
1,076000;-0,2499;0,3247;0,8864;0,976
1,079000;-0,2490;0,3252;0,8866;0,977
1,080000;-0,2497;0,3252;0,8871;0,977
1,082000;-0,2499;0,3244;0,8869;0,977
1,084000;-0,2516;0,3252;0,8864;0,977
1,087000;-0,2519;0,3235;0,8869;0,977
1,088000;-0,2531;0,3232;0,8869;0,977
1,090000;-0,2531;0,3242;0,8871;0,978
1,092000;-0,2548;0,3230;0,8888;0,979
